Machine,Job,Gap 20,Gap 10,Gap 5,Gap 0
6, 9,0.792,2.979,4.371,7.512
6, 9,1.137,16.297,215.302,763.287
6, 9,1.558,6.13,65.004,123.663
6, 9,0.503,3.533,12.983,22.152
6, 9,0.242,2.961,7.268,11.545
6, 9,0.458,1.901,2.636,4.67
6, 9,0.336,2.437,12.123,21.686
6, 9,0.377,2.846,20.297,42.744
6, 9,0.238,2.304,3.698,5.934
6, 9,0.104,0.911,2.959,4.208
6, 9,0.148,0.687,2.789,3.364
6, 9,2.948,65.488,330.738,603.933
6, 9,0.348,2.74,10.617,19.619
6, 9,0.363,1.338,3.73,5.348
6, 9,0.145,1.132,6.422,12.081
6, 9,0.378,3.651,14.451,43.3
6, 9,0.317,3,4.777,11.83
6, 9,1.181,15.649,22.757,33.869
6, 9,0.193,3.33,12.099,18.417
6, 9,1.798,17.389,62.953,179.506
6,10,0.737,6.194,106.216,535.354
6,10,4.211,21.798,124.102,2461.079
6,10,0.957,16.795,117.524,517.316
6,10,4.429,18.577,78.483,599.819
6,10,1.31,8.1,27.002,45.865
6,10,2.63,17.872,30.055,81.048
6,10,1.915,17.895,39.302,302.644
6,10,2.93,72.142,893.288,1851.844
6,10,4.297,12.153,33.511,105.535
6,10,0.253,4.874,17.855,52.442
6,10,2.315,39.434,775.955,2971.527
6,10,16.577,678.934,2314.602,4490.256
6,10,1.315,25.951,130.659,273.096
6,10,5.955,121.857,1367.671,3110.517
6,10,2.248,10.269,55.695,188.941
6,10,1.651,26.501,56.047,384.661
6,10,2.396,6.731,21.327,64.238
6,10,0.83,18.632,98.551,354.679
6,10,0.662,7.408,34.045,69.851
6,10,2.026,18.78,45.409,105.522
6,10,0.347,5.981,22.672,51.461
6,10,3.944,130.547,1460.965,3394.106
6,10,4.772,55.683,617.214,1533.422
6,10,1.539,22.554,50.474,157.113
6,10,2.058,12.308,54.853,135.998
6,10,2.832,24.369,209.504,3018.545
6,10,8.946,534.826,3777.507,24847.84
6,10,7.905,93.941,508.419,947.881
6,10,6.761,21.091,38.411,70.069
6,10,5.197,70.605,296.033,1391.089
6,10,2.156,25.032,125.912,360.834
6,10,5.644,16.671,51.474,255.572
6,10,8.196,572.219,5756.803,40593.509
6,10,3.742,68.301,2060.052,6132.599
6,10,0.782,10.252,75.797,370.728
6,10,5.184,37.788,59.185,244.107
6,10,21.748,240.769,736.668,1105.871
6,10,17.939,729.053,3514.206,7374.28
6,10,2.928,13.296,38.731,107.896
6,10,7.95,240.346,5427.842,20374.831
6,10,0.62,6.1,31.462,67.573
6,10,0.431,10.328,77.827,606.921
6,10,2.017,16.901,49.542,109.361
6,10,2.143,34.148,145.331,568
6,10,5.138,62.671,771.843,2826.837
6,10,2.296,11.928,54.037,129.731
6,10,0.523,8.972,43.571,123.353
6,10,1.223,56.627,581.011,1742.135
6,10,9.032,41.645,117.641,349.643
6,10,9.602,1928.602,35208.771,122910.55
6,10,10.178,90.559,764.502,2944.783
6,10,8.592,79.491,481.966,1796.64
6,10,3.095,26.764,44.492,56.186
6,10,7.244,126.017,1750.427,5584.528
6,10,2.25,14.614,46.284,92.992
6,10,11.14,94.163,1441.327,5329.495
6,10,1.831,12.208,49.338,182.578
6,10,9.717,75.041,115.479,138.143
6,10,0.823,14.851,101.237,378.667
6,10,17.772,836.263,8192.76,41797.52
